"CIK","Company_Name","Symbol","Exchange","CUSIP","AssetType","Sector"
"320193","Apple Inc.","AAPL","Nasdaq","037833100","EQUITY","Technology"
"789019","MICROSOFT CORP","MSFT","Nasdaq","594918104","EQUITY","Technology"
"1652044","Alphabet Inc.","GOOGL","Nasdaq","02079K305","EQUITY","Technology"
"1318605","Tesla, Inc.","TSLA","Nasdaq","88160R101","EQUITY","Consumer Discretionary"
"731766","UNITEDHEALTH GROUP INC","UNH","NYSE","91324P102","EQUITY","Health Care"
"200406","JOHNSON & JOHNSON","JNJ","NYSE","478160104","EQUITY","Health Care"
"34088","EXXON MOBIL CORP","XOM","NYSE","30231G102","EQUITY","Energy"
"1403161","VISA INC.","V","NYSE","92826C839","EQUITY","Consumer Discretionary"
"104169","Walmart Inc.","WMT","NYSE","931142103","EQUITY","Consumer Discretionary"
"19617","JPMORGAN CHASE & CO","JPM","NYSE","46625H100","EQUITY","Finance"
"93410","CHEVRON CORP","CVX","NYSE","166764100","EQUITY","Energy"
"1046179","TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD","TSM","NYSE","874039100","EQUITY","Technology"
"59478","ELI LILLY & Co","LLY","NYSE","532457108","EQUITY","Health Care"
"1045810","NVIDIA CORP","NVDA","Nasdaq","67066G104","EQUITY","Technology"
"80424","PROCTER & GAMBLE Co","PG","NYSE","742718109","EQUITY","Consumer Discretionary"
"1141391","Mastercard Inc","MA","NYSE","57636Q104","EQUITY","Consumer Discretionary"
"70858","BANK OF AMERICA CORP /DE/","BAC","NYSE","60505104","EQUITY","Finance"
"354950","HOME DEPOT, INC.","HD","NYSE","437076102","EQUITY","Consumer Discretionary"
"1551152","AbbVie Inc.","ABBV","NYSE","00287Y109","EQUITY","Health Care"
"78003","PFIZER INC","PFE","NYSE","717081103","EQUITY","Health Care"
"21344","COCA COLA CO","KO","NYSE","191216100","EQUITY","Consumer Staples"
"310158","Merck & Co., Inc.","MRK","NYSE","58933Y105","EQUITY","Health Care"
"77476","PEPSICO INC","PEP","Nasdaq","713448108","EQUITY","Consumer Staples"
"353278","NOVO NORDISK A S","NVO","NYSE","670100205","EQUITY","Health Care"
"909832","COSTCO WHOLESALE CORP /NEW","COST","Nasdaq","22160K105","EQUITY","Consumer Discretionary"
"97745","THERMO FISHER SCIENTIFIC INC.","TMO","NYSE","883556102","EQUITY","Industrials"
"1341439","ORACLE CORP","ORCL","NYSE","68389X105","EQUITY","Technology"
"1577552","Alibaba Group Holding Ltd","BABA","NYSE","01609W102","EQUITY","Consumer Discretionary"
"313616","DANAHER CORP /DE/","DHR","NYSE","235851102","EQUITY","Industrials"
"63908","MCDONALDS CORP","MCD","NYSE","580135101","EQUITY","Consumer Discretionary"
"1744489","Walt Disney Co","DIS","NYSE","254687106","EQUITY","Consumer Discretionary"
"1094517","TOYOTA MOTOR CORP/","TM","NYSE","892331307","EQUITY","Consumer Discretionary"
"811809","BHP Group Ltd","BHP","NYSE","88606108","EQUITY","Energy"
